t[s];T[K];P[Pa];Uliq[kmol];Uvap[kmol];x1;x2;x3;y1;y2;y3
      0.00;  0.330165E+03;  0.101325E+06;  0.500000E+01;  0.184563E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.165335E+00;  0.344784E+00;  0.489881E+00
     10.00;  0.330848E+03;  0.103834E+06;  0.500000E+01;  0.188734E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.165132E+00;  0.345771E+00;  0.489097E+00
     20.00;  0.331531E+03;  0.106397E+06;  0.499999E+01;  0.193004E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.164929E+00;  0.346757E+00;  0.488314E+00
     30.00;  0.332214E+03;  0.109031E+06;  0.499999E+01;  0.197378E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.164724E+00;  0.347740E+00;  0.487536E+00
     40.00;  0.332897E+03;  0.111732E+06;  0.499998E+01;  0.201850E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.164520E+00;  0.348717E+00;  0.486763E+00
     50.00;  0.333579E+03;  0.114489E+06;  0.499998E+01;  0.206405E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.164315E+00;  0.349690E+00;  0.485995E+00
     60.00;  0.334262E+03;  0.117293E+06;  0.499997E+01;  0.211029E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.164110E+00;  0.350660E+00;  0.485230E+00
     70.00;  0.334945E+03;  0.120146E+06;  0.499997E+01;  0.215722E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.163905E+00;  0.351628E+00;  0.484467E+00
     80.00;  0.335628E+03;  0.123057E+06;  0.499996E+01;  0.220500E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.163699E+00;  0.352593E+00;  0.483708E+00
     90.00;  0.336310E+03;  0.126030E+06;  0.499996E+01;  0.225367E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.163493E+00;  0.353554E+00;  0.482954E+00
    100.00;  0.336993E+03;  0.129060E+06;  0.499995E+01;  0.230318E-03;  0.200000E+00;  0.300000E+00;  0.500000E+00;  0.163287E+00;  0.354510E+00;  0.482204E+00
    110.00;  0.337676E+03;  0.132149E+06;  0.499995E+01;  0.235355E-03;  0.200000E+00;  0.299999E+00;  0.500000E+00;  0.163081E+00;  0.355462E+00;  0.481457E+00
    120.00;  0.338359E+03;  0.135300E+06;  0.499994E+01;  0.240479E-03;  0.200000E+00;  0.299999E+00;  0.500000E+00;  0.162874E+00;  0.356412E+00;  0.480714E+00
    130.00;  0.339041E+03;  0.138511E+06;  0.499994E+01;  0.245689E-03;  0.200000E+00;  0.299999E+00;  0.500000E+00;  0.162667E+00;  0.357358E+00;  0.479975E+00
    140.00;  0.339724E+03;  0.141782E+06;  0.499993E+01;  0.250984E-03;  0.200000E+00;  0.299999E+00;  0.500000E+00;  0.162460E+00;  0.358301E+00;  0.479239E+00
    150.00;  0.340407E+03;  0.145112E+06;  0.499993E+01;  0.256365E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.162253E+00;  0.359240E+00;  0.478507E+00
    160.00;  0.341089E+03;  0.148502E+06;  0.499992E+01;  0.261832E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.162046E+00;  0.360176E+00;  0.477778E+00
    170.00;  0.341772E+03;  0.151963E+06;  0.499992E+01;  0.267398E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.161839E+00;  0.361108E+00;  0.477053E+00
    180.00;  0.342455E+03;  0.155490E+06;  0.499991E+01;  0.273056E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.161631E+00;  0.362037E+00;  0.476332E+00
    190.00;  0.343138E+03;  0.159080E+06;  0.499991E+01;  0.278805E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.161424E+00;  0.362963E+00;  0.475614E+00
    200.00;  0.343820E+03;  0.162735E+06;  0.499990E+01;  0.284644E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.161216E+00;  0.363885E+00;  0.474899E+00
    210.00;  0.344503E+03;  0.166454E+06;  0.499989E+01;  0.290574E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.161009E+00;  0.364803E+00;  0.474188E+00
    220.00;  0.345186E+03;  0.170227E+06;  0.499989E+01;  0.296586E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.160801E+00;  0.365718E+00;  0.473482E+00
    230.00;  0.345868E+03;  0.174095E+06;  0.499988E+01;  0.302719E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.160593E+00;  0.366631E+00;  0.472776E+00
    240.00;  0.346551E+03;  0.178029E+06;  0.499988E+01;  0.308944E-03;  0.200001E+00;  0.299999E+00;  0.500000E+00;  0.160385E+00;  0.367541E+00;  0.472074E+00
    250.00;  0.347234E+03;  0.182027E+06;  0.499987E+01;  0.315261E-03;  0.200001E+00;  0.299998E+00;  0.500001E+00;  0.160177E+00;  0.368447E+00;  0.471375E+00
    260.00;  0.347916E+03;  0.186093E+06;  0.499986E+01;  0.321671E-03;  0.200001E+00;  0.299998E+00;  0.500001E+00;  0.159970E+00;  0.369350E+00;  0.470680E+00
    270.00;  0.348599E+03;  0.190227E+06;  0.499986E+01;  0.328177E-03;  0.200001E+00;  0.299998E+00;  0.500001E+00;  0.159762E+00;  0.370250E+00;  0.469988E+00
    280.00;  0.349282E+03;  0.194445E+06;  0.499985E+01;  0.334799E-03;  0.200001E+00;  0.299998E+00;  0.500001E+00;  0.159554E+00;  0.371145E+00;  0.469301E+00
